by Category (KBTIC-RIN),MSDNAA de la UPC,Distribució de Software,.,
by Category (KBTIC-RIN),MSF,,obsolet,
by Category (KBTIC-RIN),Murzim,,obsolet,
by Category (KBTIC-RIN),MySQL,MySQL,.,
by Category (KBTIC-RIN),Nagios,Nagios,.,
by Category (KBTIC-RIN),Navision,Navision,.,
by Category (KBTIC-RIN),Notes,Lotus Domino Notes,.,
by Category (KBTIC-RIN),NTP,NTP,.,
by Category (KBTIC-RIN),OAUTH,OAUTH,.,
by Category (KBTIC-RIN),OBSOLET,,obsolet,
by Category (KBTIC-RIN),OEM Cloud Control,OEM Cloud Control,.,
by Category (KBTIC-RIN),Office,,obsolet,
by Category (KBTIC-RIN),Oracle RAC,Oracle,.,
by Category (KBTIC-RIN),Oracle,Oracle,.,
by Category (KBTIC-RIN),Parada total CPD,Parada total CPD,.,
by Category (KBTIC-RIN),Parxeig,Reparacions i Petites Ampliacions de Cablat,.,
by Category (KBTIC-RIN),PHP,PHP,.,
by Category (KBTIC-RIN),Pidgin,Pidgin,.,
by Category (KBTIC-RIN),Plafo de Serveis,Plafo de Serveis,.,
by Category (KBTIC-RIN),PLONE,Plone,.,
by Category (KBTIC-RIN),POSTGRESQL,PostgreSQL,.,
by Category (KBTIC-RIN),Practicum,,obsolet,
by Category (KBTIC-RIN),Prestecs,,obsolet,
by Category (KBTIC-RIN),Presència,Presència UPCnet,.,
by Category (KBTIC-RIN),Prisma Renove,PRISMA,.,
by Category (KBTIC-RIN),Prisma,PRISMA,.,
by Category (KBTIC-RIN),Procediments d'Operació,,només esborrar categoria,
by Category (KBTIC-RIN),Progeny,,només esborrar categoria,
by Category (KBTIC-RIN),Projecte Davyd - Sala Juntes Master's,,obsolet,
by Category (KBTIC-RIN),Proxy,,obsolet,
by Category (KBTIC-RIN),Puppet,Puppet,.,
by Category (KBTIC-RIN),Pàgines web personals,,obsolet,
by Category (KBTIC-RIN),Radioenllaços,,obsolet,
by Category (KBTIC-RIN),RADIUS,RADIUS,.,
by Category (KBTIC-RIN),Recuperaciones,Backups,.,
by Category (KBTIC-RIN),Red Hat,Red Hat,.,
by Category (KBTIC-RIN),Redes administradas por UPCnet,Xarxes LAN,.,
by Category (KBTIC-RIN),Rem,,obsolet,
by Category (KBTIC-RIN),Reparacions i Petites Ampliacions de Cablat,Reparacions i Petites Ampliacions de Cablat,.,
by Category (KBTIC-RIN),Repositori PL UPCnet,Repositori PL UPCnet,.,
by Category (KBTIC-RIN),Repositori UPC,Repositori UPC,.,
by Category (KBTIC-RIN),Resolució d'incidències,,només esborrar categoria,
by Category (KBTIC-RIN),Reus Educat,,obsolet,
by Category (KBTIC-RIN),Revisat,,obsolet,
by Category (KBTIC-RIN),Revisions Mèdiques,Revisions Mèdiques,.,
by Category (KBTIC-RIN),Revisió Tiquets,Atenció Usuaris,.,
by Category (KBTIC-RIN),SAI: Servei d'Accés a Internet,,obsolet,
by Category (KBTIC-RIN),SAN,SAN,.,
by Category (KBTIC-RIN),SAP Renove,SAP,.,
by Category (KBTIC-RIN),SAP,SAP,.,
by Category (KBTIC-RIN),Seguretat,Seguretat,.,
by Category (KBTIC-RIN),Servei de Correcció Òptica d'Exàmens de l'ICE,Correcció Òptica d'Exàmens de l'ICE,.,
by Category (KBTIC-RIN),Servei de Difusio de la Informacio del Servei De Personal,,obsolet,
by Category (KBTIC-RIN),Servei de Difusió d'Informació del Servei de Prevenció de Riscos Laborals,,obsolet,
by Category (KBTIC-RIN),Servidor TV per a la UPC,Canal UPC TV,.,
by Category (KBTIC-RIN),Servidors llicències,Distribució de Software,.,
by Category (KBTIC-RIN),Servidors,,només esborrar categoria,
by Category (KBTIC-RIN),SIGMA,,obsolet,
by Category (KBTIC-RIN),SIGVI,Seguretat,.,
by Category (KBTIC-RIN),Sirena,Sirena,.,
